subject,wm_snr_orig,gm_snr_orig,wm_snr_norm,gm_snr_norm,cc_size,holes_lh,holes_rh,defects_lh,defects_rh,topo_lh,topo_rh,con_snr_lh,con_snr_rh,rot_tal_x,rot_tal_y,rot_tal_z,n_outlier_norms,n_outlier_sample_nonpar,n_outlier_sample_param,QC_metric
SUBJ_00459,14.252628593525548,8.221177701356531,25.69304629378892,10.660174569013764,0.002938685767888,18,24,14,13,1.2,2.1,3.626294,3.5628965,0.1031520985041844,-0.0062008336157589,-0.0467163053047961,4.0,2,7,-0.915888932497246
SUBJ_00461,11.975909229755985,8.065779946961378,24.3414730353125,12.505101924125029,0.0026030152173582,21,29,21,25,2.2,5.0,3.3118062,3.3342962,-0.0929101372471639,-0.0114410501810091,0.037907247909926,5.0,2,7,1.5843245653767497
SUBJ_00462,13.065076319701973,8.76783272779377,22.89977684227257,13.899769236355777,0.0022100236337335,44,39,32,34,1.4,1.8,3.2330475,3.2630165,0.0400973934085843,-0.0247059030975081,-0.0752252933348883,2.0,1,4,3.814159401657754
SUBJ_00463,11.748234985010289,8.128823656308963,27.27296348948471,13.29484888101585,0.0026138294445415,27,39,29,17,2.5,10.8,3.4884486,3.4176924,-0.184672301446677,0.0129277368261349,0.0299480165050561,2.0,0,1,1.680352210073378
SUBJ_00464,12.112395400830655,7.684138664684996,23.839499422415933,12.06439823590036,0.0024221460041005,32,27,27,20,2.0,6.2,3.393051,3.4038205,-0.1456964576999466,-0.0060892784860341,-0.0042768997952924,4.0,0,0,1.3964094924341086
SUBJ_00465,12.039147000908146,8.061314884146876,24.79910650291656,13.40752825484226,0.0035447092367211,30,38,30,23,1.7,2.9,3.2664118,3.1790893,-0.0890738986273555,-0.0635299407461659,0.016405086391589,2.0,4,6,2.4887839874514697
SUBJ_00466,12.095604867466289,8.18869446367579,25.459677224317943,11.352865735477444,0.0028776890662918,32,30,18,26,3.0,3.8,3.4053001,3.3537161,-0.1296653509969309,0.0311316197521484,0.0293179423398285,12.0,26,33,2.508093220913712
SUBJ_00471,13.726498761671127,8.695785355016108,23.82352353738416,13.442933185806464,0.0021667484265982,44,41,34,34,3.6,3.8,3.2340264,3.2194443,-0.0747595734647478,-0.0518673327245434,0.0118644067476765,1.0,1,2,4.29148626138854
SUBJ_00473,12.01780697687118,7.807075353602118,24.382502776537464,12.140782371468015,0.002389132896345,39,46,19,27,5.6,11.9,3.377408,3.28279,-0.0871298972592941,0.0603636598039132,0.0090632395519192,2.0,0,2,3.6552258689626056
SUBJ_00474,10.963086657014308,7.198853425413591,22.80592816887921,12.694941369266138,0.0024194576149695,28,33,23,23,1.9,3.3,3.3233068,3.3238115,-0.0318593754138664,-0.0664666295642127,0.0599910089470045,2.0,0,4,1.855699138838331
SUBJ_00476,14.708159748631852,9.149072822899658,26.954846529112267,13.213013592667313,0.0024236911545255,37,33,25,30,2.6,5.6,3.254426,3.2754364,0.0881201279070199,0.0377235746970069,0.0431347108968875,1.0,3,3,2.8179478223775574
SUBJ_00478,8.114282280554658,6.435674413422574,22.750499515581183,11.406732241270747,0.0026586786182176,21,35,32,19,1.0,1.7,3.535394,3.5345783,-0.233703004905654,-0.0271629583186813,-0.082666267101598,5.0,11,14,1.133232029933233
SUBJ_00482,12.846156768055664,8.457529384195853,25.14463106146023,12.265002532356268,0.0025500485375559,52,45,40,34,2.3,6.4,3.3095984,3.343873,-0.1133941933464437,0.0061607909450175,-0.0684593176666976,4.0,2,7,4.364573577495164
SUBJ_00483,12.336834916470728,7.51887088739108,26.406817623514723,11.980420589644634,0.0019785667974933,19,21,20,19,1.2,4.4,3.5768638,3.546371,0.0637771270690712,-0.0190207394778066,-0.0027418564714592,7.0,3,7,0.0959620814156566
SUBJ_00485,12.319214627612574,7.82219292997413,24.25432810688529,12.077693831398305,0.0030341484146525,28,35,23,22,1.0,1.8,3.356817,3.3054914,0.0380927745153697,-0.0315485695678746,-0.0373128025151241,2.0,0,13,1.562436961754306
